token,symbol,expiry,strike,option_type,lot_size,closing_price
35000,BANKNIFTY,30Sep2025,40600.0,CE,35,15206.8
35001,BANKNIFTY,30Sep2025,40600.0,PE,35,0.05
35002,BANKNIFTY,30Sep2025,40700.0,CE,35,15107.0
35003,BANKNIFTY,30Sep2025,40700.0,PE,35,0.05
35004,BANKNIFTY,30Sep2025,40800.0,CE,35,15007.2
35005,BANKNIFTY,30Sep2025,40800.0,PE,35,0.05
35006,BANKNIFTY,30Sep2025,40900.0,CE,35,14907.4
35007,BANKNIFTY,30Sep2025,40900.0,PE,35,0.05
35008,BANKNIFTY,28Oct2025,33000.0,CE,35,22947.35
35009,BANKNIFTY,28Oct2025,33000.0,PE,35,0.05
35010,BANKNIFTY,30Sep2025,31000.0,CE,35,24788.05
35011,BANKNIFTY,28Oct2025,40600.0,CE,35,15397.95
35012,BANKNIFTY,28Oct2025,40600.0,PE,35,0.05
35013,BANKNIFTY,28Oct2025,40700.0,CE,35,15298.65
35014,BANKNIFTY,28Oct2025,40700.0,PE,35,0.05
35015,BANKNIFTY,30Sep2025,31000.0,PE,35,0.05
35016,BANKNIFTY,30Sep2025,38700.0,CE,35,17103.1
35017,BANKNIFTY,28Oct2025,40800.0,CE,35,15199.3
35018,BANKNIFTY,28Oct2025,40800.0,PE,35,0.05
35019,BANKNIFTY,30Sep2025,38700.0,PE,35,0.05
35020,BANKNIFTY,28Oct2025,40900.0,CE,35,15099.95
35021,BANKNIFTY,28Oct2025,40900.0,PE,35,0.05
35022,BANKNIFTY,28Oct2025,31000.0,CE,35,24934.0
35023,BANKNIFTY,28Oct2025,31000.0,PE,35,0.05
35024,BANKNIFTY,28Oct2025,38700.0,CE,35,17285.3
35025,BANKNIFTY,28Oct2025,38700.0,PE,35,0.05
35026,BANKNIFTY,30Sep2025,72300.0,CE,35,0.05
35027,BANKNIFTY,30Sep2025,72300.0,PE,35,16431.3
35028,BANKNIFTY,30Sep2025,72400.0,CE,35,0.05
35029,BANKNIFTY,30Sep2025,72400.0,PE,35,16531.1
35030,BANKNIFTY,25Nov2025,31000.0,CE,35,25077.75
35031,BANKNIFTY,25Nov2025,31000.0,PE,35,0.05
35032,BANKNIFTY,30Sep2025,80000.0,CE,35,0.05
35033,BANKNIFTY,25Nov2025,38700.0,CE,35,17464.8
35034,BANKNIFTY,25Nov2025,38700.0,PE,35,0.05
35035,FINNIFTY,30Sep2025,21850.0,CE,65,4891.35
35036,FINNIFTY,30Sep2025,21850.0,PE,65,0.05
35037,BANKNIFTY,30Sep2025,80000.0,PE,35,24116.25
35038,MIDCPNIFTY,30Sep2025,10225.0,CE,140,3029.25
35039,MIDCPNIFTY,30Sep2025,10225.0,PE,140,0.05
35040,MIDCPNIFTY,28Oct2025,10225.0,CE,140,3077.45
35041,MIDCPNIFTY,28Oct2025,10225.0,PE,140,0.05
35042,MIDCPNIFTY,25Nov2025,10225.0,CE,140,3125.75
35043,MIDCPNIFTY,25Nov2025,10225.0,PE,140,0.95
35044,MIDCPNIFTY,30Sep2025,8200.0,CE,140,5050.3
35045,MIDCPNIFTY,30Sep2025,8200.0,PE,140,0.05
35046,MIDCPNIFTY,30Sep2025,8300.0,CE,140,4950.5
35047,MIDCPNIFTY,30Sep2025,8300.0,PE,140,0.05
35048,MIDCPNIFTY,25Nov2025,10250.0,CE,140,3101.1
35049,MIDCPNIFTY,30Sep2025,10425.0,CE,140,2829.65
35050,MIDCPNIFTY,25Nov2025,10250.0,PE,140,1.05
35051,MIDCPNIFTY,30Sep2025,10425.0,PE,140,0.05
35052,MIDCPNIFTY,30Sep2025,10450.0,CE,140,2804.7
35053,MIDCPNIFTY,30Sep2025,10450.0,PE,140,0.05
35054,MIDCPNIFTY,30Sep2025,10475.0,CE,140,2779.75
35055,MIDCPNIFTY,30Sep2025,10475.0,PE,140,0.05
35056,BANKNIFTY,25Nov2025,70200.0,CE,35,2.8
35057,BANKNIFTY,25Nov2025,70200.0,PE,35,13682.1
35058,MIDCPNIFTY,30Sep2025,10525.0,CE,140,2729.85
35059,MIDCPNIFTY,30Sep2025,10525.0,PE,140,0.05
35060,MIDCPNIFTY,30Sep2025,10550.0,CE,140,2704.9
35061,MIDCPNIFTY,30Sep2025,10550.0,PE,140,0.05
35062,MIDCPNIFTY,30Sep2025,10575.0,CE,140,2679.95
35063,MIDCPNIFTY,30Sep2025,10575.0,PE,140,0.05
35064,MIDCPNIFTY,28Oct2025,8200.0,CE,140,5088.9
35065,NIFTY,23Sep2025,19200.0,CE,75,6239.25
35066,NIFTY,23Sep2025,19200.0,PE,75,0.05
35067,MIDCPNIFTY,28Oct2025,8200.0,PE,140,0.05
35068,NIFTY,25Nov2025,19200.0,CE,75,6440.6
35069,NIFTY,25Nov2025,19200.0,PE,75,0.05
35070,MIDCPNIFTY,28Oct2025,8300.0,CE,140,4989.55
35071,MIDCPNIFTY,28Oct2025,8300.0,PE,140,0.05
35072,MIDCPNIFTY,28Oct2025,10425.0,CE,140,2878.85
35073,MIDCPNIFTY,28Oct2025,10425.0,PE,140,0.15
35074,MIDCPNIFTY,28Oct2025,10450.0,CE,140,2854.0
35075,MIDCPNIFTY,28Oct2025,10450.0,PE,140,0.15
35076,MIDCPNIFTY,28Oct2025,10475.0,CE,140,2829.2
35077,MIDCPNIFTY,28Oct2025,10475.0,PE,140,0.15
35078,MIDCPNIFTY,28Oct2025,10525.0,CE,140,2779.6
35079,MIDCPNIFTY,28Oct2025,10525.0,PE,140,0.2
35080,MIDCPNIFTY,28Oct2025,10550.0,CE,140,2754.75
35081,MIDCPNIFTY,28Oct2025,10550.0,PE,140,0.25
35082,MIDCPNIFTY,28Oct2025,10575.0,CE,140,2729.95
35083,MIDCPNIFTY,28Oct2025,10575.0,PE,140,0.25
35084,NIFTYNXT50,25Nov2025,35500.0,CE,25,34235.45
35085,FINNIFTY,30Sep2025,33300.0,CE,65,0.05
35086,FINNIFTY,30Sep2025,33300.0,PE,65,6536.3
35087,NIFTYNXT50,25Nov2025,35500.0,PE,25,0.05
35088,NIFTYNXT50,25Nov2025,53700.0,CE,25,16245.15
35089,NIFTYNXT50,25Nov2025,53700.0,PE,25,4.05
35090,FINNIFTY,30Sep2025,36500.0,CE,65,0.05
35091,FINNIFTY,30Sep2025,36500.0,PE,65,9730.05
35092,NIFTYNXT50,25Nov2025,53800.0,CE,25,16146.55
35093,NIFTYNXT50,25Nov2025,53800.0,PE,25,4.35
35094,360ONE,28Oct2025,520.0,CE,500,585.6
35095,360ONE,28Oct2025,520.0,PE,500,0.05
35096,MIDCPNIFTY,30Sep2025,15575.0,CE,140,0.05
35097,MIDCPNIFTY,30Sep2025,15575.0,PE,140,2310.35
35098,BANKNIFTY,25Nov2025,69300.0,CE,35,4.9
35099,BANKNIFTY,25Nov2025,69300.0,PE,35,12794.35
35100,BANKNIFTY,25Nov2025,69400.0,CE,35,4.6
35101,BANKNIFTY,25Nov2025,69400.0,PE,35,12892.95
35102,360ONE,28Oct2025,660.0,CE,500,446.55
35103,360ONE,28Oct2025,660.0,PE,500,0.05
35104,BANKNIFTY,25Nov2025,77000.0,CE,35,0.05
35105,ABB,25Nov2025,2400.0,CE,125,3063.15
35106,BANKNIFTY,25Nov2025,77000.0,PE,35,20402.5
35107,NIFTY,23Sep2025,19600.0,CE,75,5839.6
35108,NIFTY,23Sep2025,19600.0,PE,75,0.05
35109,NIFTY,23Sep2025,19650.0,CE,75,5789.65
35110,NIFTY,23Sep2025,19650.0,PE,75,0.05
35111,NIFTY,23Sep2025,19700.0,CE,75,5739.65
35112,NIFTY,23Sep2025,19700.0,PE,75,0.05
35113,BANKNIFTY,25Nov2025,69100.0,CE,35,5.55
35114,BANKNIFTY,25Nov2025,69100.0,PE,35,12597.25
35115,MIDCPNIFTY,25Nov2025,15025.0,CE,140,78.2
35116,MIDCPNIFTY,25Nov2025,15025.0,PE,140,1699.2
35117,MIDCPNIFTY,25Nov2025,17300.0,CE,140,1.9
35118,MIDCPNIFTY,25Nov2025,17300.0,PE,140,3872.15
35119,NIFTY,30Sep2025,19300.0,CE,75,6161.35
35120,NIFTY,30Sep2025,19300.0,PE,75,0.05
35121,NIFTY,30Sep2025,19350.0,CE,75,6111.45
35122,NIFTY,30Sep2025,19350.0,PE,75,0.05
35123,NIFTY,30Sep2025,19400.0,CE,75,6061.55
35124,NIFTY,30Sep2025,19400.0,PE,75,0.05
35125,NIFTY,28Oct2025,19300.0,CE,75,6252.2
35126,NIFTY,28Oct2025,19300.0,PE,75,0.05
35127,NIFTY,28Oct2025,19350.0,CE,75,6202.55
35128,ABB,25Nov2025,2400.0,PE,125,0.05
35129,MIDCPNIFTY,30Sep2025,8500.0,CE,140,4750.9
35130,NIFTY,28Oct2025,19350.0,PE,75,0.05
35131,NIFTY,28Oct2025,19400.0,CE,75,6152.9
35132,NIFTY,28Oct2025,19400.0,PE,75,0.05
35133,NIFTY,28Oct2025,19450.0,CE,75,6103.2
35134,NIFTY,28Oct2025,19450.0,PE,75,0.05
35135,NIFTYNXT50,30Sep2025,36000.0,CE,25,33404.65
35136,NIFTYNXT50,30Sep2025,36000.0,PE,25,0.05
35137,MIDCPNIFTY,30Sep2025,8500.0,PE,140,0.05
35138,MIDCPNIFTY,30Sep2025,8600.0,CE,140,4651.1
35139,NIFTYNXT50,30Sep2025,36500.0,CE,25,32905.65
35140,NIFTYNXT50,30Sep2025,36500.0,PE,25,0.05
35141,NIFTYNXT50,30Sep2025,54200.0,CE,25,15240.25
35142,NIFTYNXT50,30Sep2025,54200.0,PE,25,0.05
35143,MIDCPNIFTY,30Sep2025,8600.0,PE,140,0.05
35144,ABCAPITAL,28Oct2025,355.0,CE,3100,1.5
35145,NIFTYNXT50,30Sep2025,54300.0,CE,25,15140.45
35146,NIFTYNXT50,30Sep2025,54300.0,PE,25,0.05
35147,NIFTYNXT50,30Sep2025,54400.0,CE,25,15040.65
35148,ABCAPITAL,28Oct2025,355.0,PE,3100,63.25
35149,NIFTYNXT50,30Sep2025,54400.0,PE,25,0.05
35150,NIFTYNXT50,30Sep2025,54600.0,CE,25,14841.0
35151,NIFTYNXT50,30Sep2025,54600.0,PE,25,0.05
35152,NIFTYNXT50,30Sep2025,54700.0,CE,25,14741.2
35153,NIFTYNXT50,30Sep2025,54700.0,PE,25,0.05
35154,NIFTYNXT50,28Oct2025,36000.0,CE,25,33574.15
35155,NIFTYNXT50,28Oct2025,36000.0,PE,25,0.05
35156,NIFTYNXT50,28Oct2025,36500.0,CE,25,33077.5
35157,BANKNIFTY,30Sep2025,34000.0,CE,35,21793.9
35158,NIFTYNXT50,28Oct2025,36500.0,PE,25,0.05
